Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	Gene Type	# of occurrence within resources (Column J-P)	OncoKB Annotated	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	COSMIC CGC (v99)	Gene Aliases
CYP19A1	1588	ENST00000260433	NM_000103.3	ENST00000396402	NM_000103.4	ONCOGENE	2	Yes	Yes	No	No	No	No	No	ARO, ARO1, CPV1, CYAR, CYP19, P-450AROM, aromatase
DDB2	1643	ENST00000256996	NM_000107	ENST00000256996	NM_000107	TSG	2	Yes	No	No	No	No	No	Yes	DDBB, FLJ34321, UV-DDB2, XPE
DDX10	1662						2	No	No	No	No	Yes	No	Yes	Dbp4, HRH-J8
DDX5	1655	ENST00000225792	NM_004396	ENST00000225792	NM_004396	ONCOGENE	2	Yes	No	No	No	No	No	Yes	G17P1, HLR1, p68
DDX6	1656						2	No	No	No	No	Yes	No	Yes	HLR2, Rck/p54
ECT2L	345930	ENST00000367682	NM_001077706.2	ENST00000367682	NM_001077706.2	TSG	2	Yes	No	No	No	Yes	No	No	ARHGEF32, C6orf91, FBXO49, LFDH
EGR1	1958	ENST00000239938	NM_001964.2	ENST00000239938	NM_001964.2	TSG	2	Yes	No	Yes	No	No	No	No	AT225, G0S30, KROX-24, NGFI-A, TIS8, ZIF-268
EIF3E	3646	ENST00000220849	NM_001568	ENST00000220849	NM_001568	INSUFFICIENT_EVIDENCE	2	Yes	No	No	No	No	No	Yes	EIF3S6, INT6, eIF3-p48
ELK4	2005	ENST00000357992	NM_001973	ENST00000357992	NM_001973	ONCOGENE	2	Yes	No	No	No	No	No	Yes	
ELN	2006	ENST00000252034	NM_001278915	ENST00000252034	NM_000501	ONCOGENE	2	Yes	No	No	No	Yes	No	No	SVAS, WBS, WS
EP400	57634	ENST00000389561	NM_015409.3	ENST00000389561	NM_015409.3	TSG	2	Yes	No	Yes	No	No	No	No	CAGH32, DKFZP434I225, KIAA1498, KIAA1818, P400, TNRC12
EPHB4	2050	ENST00000358173	NM_004444	ENST00000358173	NM_004444	ONCOGENE	2	Yes	No	No	Yes	No	No	No	HTK, Tyro11
EPOR	2057	ENST00000222139	NM_000121.3	ENST00000222139	NM_000121.3	ONCOGENE	2	Yes	No	No	No	Yes	No	No	
EPS15	2060						2	No	No	No	No	Yes	No	Yes	AF-1P, MLLT5
ERC1	23085	ENST00000360905	NM_178040	ENST00000360905	NM_178040	ONCOGENE	2	Yes	No	No	No	No	No	Yes	CAST2, ELKS, KIAA1081, MGC12974, RAB6IP2
ESCO2	157570	ENST00000305188	NM_001017420.2	ENST00000305188	NM_001017420.2	TSG	2	Yes	No	Yes	No	No	No	No	EFO2, RBS
ETAA1	54465	ENST00000272342	NM_019002.3	ENST00000272342	NM_019002.3	TSG	2	Yes	Yes	No	No	No	No	No	ETAA16
ETS1	2113	ENST00000319397	NM_005238	ENST00000319397	NM_005238	ONCOGENE_AND_TSG	2	Yes	No	No	No	Yes	No	No	ETS-1, EWSR2, FLJ10768
EXT1	2131	ENST00000378204	NM_000127	ENST00000378204	NM_000127	TSG	2	Yes	No	No	No	No	No	Yes	LGCR, LGS, ttv
EZHIP	340602	ENST00000342995	NM_203407.2	ENST00000342995	NM_203407.3	ONCOGENE	2	Yes	Yes	No	No	No	No	No	CATACOMB, CXorf67
EZR	7430						2	No	No	No	Yes	No	No	Yes	VIL2
FCGR2B	2213						2	No	No	No	No	Yes	No	Yes	CD32, CD32B, FCG2, FCGR2
FCRL4	83417						2	No	No	No	No	Yes	No	Yes	CD307d, FCRH4, IGFP2, IRTA1
FES	2242	ENST00000328850	NM_002005	ENST00000328850	NM_002005	ONCOGENE	2	Yes	No	No	No	No	No	Yes	FPS
FOXF1	2294	ENST00000262426	NM_001451.2	ENST00000262426	NM_001451.2	ONCOGENE_AND_TSG	2	Yes	Yes	No	No	No	No	No	FKHL5, FREAC1
FOXO4	4303						2	No	No	No	No	Yes	No	Yes	AFX1, MLLT7
FRS2	10818	ENST00000397997	NM_001042555	ENST00000397997	NM_001042555	ONCOGENE	2	Yes	No	No	No	Yes	No	No	FRS2A, FRS2alpha, SNT-1
FSTL3	10272						2	No	No	No	No	Yes	No	Yes	FLRG, FSRP
FURIN	5045	ENST00000268171	NM_001289823.1	ENST00000268171	NM_001289823.1	ONCOGENE	2	Yes	No	Yes	No	No	No	No	FUR, PACE, PCSK3
GAB1	2549	ENST00000262995		ENST00000262995		ONCOGENE	2	Yes	Yes	No	No	No	No	No	DFNB26
GAB2	9846	ENST00000361507	NM_080491.2	ENST00000361507	NM_080491.2	ONCOGENE	2	Yes	Yes	No	No	No	No	No	KIAA0571
GABRA6	2559	ENST00000274545	NM_000811	ENST00000274545	NM_000811	ONCOGENE	2	Yes	No	No	Yes	No	No	No	
GAS7	8522						2	No	No	No	No	Yes	No	Yes	KIAA0394, MGC1348
GATA4	2626	ENST00000335135	NM_002052	ENST00000335135	NM_002052	TSG	2	Yes	No	No	Yes	No	No	No	
GATA6	2627	ENST00000269216	NM_005257	ENST00000269216	NM_005257	ONCOGENE	2	Yes	No	No	Yes	No	No	No	
GID4	79018						2	No	No	No	Yes	Yes	No	No	C17orf39, VID24
GPC3	2719	ENST00000370818	NM_004484	ENST00000370818	NM_004484	ONCOGENE	2	Yes	No	No	No	No	No	Yes	DGSX, OCI-5, SDYS, SGB, SGBS, SGBS1
GPHN	10243						2	No	No	No	No	Yes	No	Yes	KIAA1385
GRM3	2913	ENST00000361669	NM_000840	ENST00000361669	NM_000840	INSUFFICIENT_EVIDENCE	2	Yes	No	No	Yes	No	No	No	GPRC1C, MGLUR3, mGlu3
GTF2I	2969	ENST00000324896	NM_032999.3	ENST00000573035	NM_032999.3	ONCOGENE	2	Yes	No	Yes	No	No	No	No	BAP-135, BTKAP1, DIWS, IB291, TFII-I, WBSCR6
H1-5	3009	ENST00000331442	NM_005322.2	ENST00000331442	NM_005322.2	TSG	2	Yes	No	Yes	No	No	No	No	H1F5, H1b, H1s-3, HIST1H1B
H2BC8	8339	ENST00000244601	NM_003518	ENST00000541790	NM_003518.3	INSUFFICIENT_EVIDENCE	2	Yes	No	Yes	No	No	No	No	H2B.1A, H2B/a, H2BFA, HIST1H2BG
H4C9	8294						2	No	No	No	No	Yes	No	Yes	H4/m, H4FM, HIST1H4I
HEY1	23462						2	No	No	No	No	Yes	No	Yes	CHF-2, CHF2, HERP2, HESR-1, HESR1, HRT-1, bHLHb31
HIP1	3092						2	No	No	No	No	Yes	No	Yes	
HIRA	7290	ENST00000263208	NM_003325	ENST00000263208	NM_003325	TSG	2	Yes	No	Yes	No	No	No	No	DGCR1, TUP1, TUPLE1
HLA-C	3107	ENST00000376228	NM_002117.5	ENST00000376228	NM_002117.5	TSG	2	Yes	Yes	No	No	No	No	No	D6S204, HLA-JY3, PSORS1
HLF	3131						2	No	No	No	No	Yes	No	Yes	MGC33822
HOXA13	3209						2	No	No	No	No	Yes	No	Yes	HOX1J
HOXA9	3205						2	No	No	No	No	Yes	No	Yes	HOX1G
HOXC11	3227						2	No	No	No	No	Yes	No	Yes	HOX3H
HOXC13	3229						2	No	No	No	No	Yes	No	Yes	HOX3, HOX3G
HOXD11	3237						2	No	No	No	No	Yes	No	Yes	HOX4F
HOXD13	3239						2	No	No	No	No	Yes	No	Yes	HOX4I, SPD
HSD3B1	3283	ENST00000369413	NM_000862	ENST00000369413	NM_000862	ONCOGENE	2	Yes	No	No	Yes	No	No	No	HSD3B, HSDB3, SDR11E1
HSP90AB1	3326						2	No	No	No	No	Yes	No	Yes	HSPC2, HSPCB
IGH	3492						2	No	No	No	No	Yes	No	Yes	IGH@, IGHDY1
IGK	50802						2	No	No	No	No	Yes	No	Yes	IGK@
IGL	3535						2	No	No	No	No	Yes	No	Yes	IGL@
IL21R	50615						2	No	No	No	No	Yes	No	Yes	CD360
